date,open_prs,opened_prs_7d,closed_prs_7d,merged_prs_7d,opened_prs_1d,closed_prs_1d,merged_prs_1d,avg_open_age_days,avg_merged_age_days_365d
2026-08-28T08:11:10Z,107,,,16,,,,134.87,
2026-08-30T10:24:47Z,101,21,28,17,,,,123.85,
2026-08-31T17:08:02Z,100,18,27,15,,,,126.36,
2026-09-01T09:51:45Z,96,22,35,22,5,9,8,124.90,
2026-09-02T09:23:28Z,76,40,74,49,20,40,28,138.94,
2026-09-03T09:33:23Z,75,46,81,50,8,9,3,96.13,
2026-09-04T09:25:38Z,69,44,82,53,0,6,6,105.16,
2026-09-05T09:02:17Z,68,39,69,48,2,3,2,107.56,
2026-09-06T09:14:10Z,68,36,69,48,0,0,0,108.57,
2026-09-07T10:02:34Z,71,39,68,48,4,1,1,104.94,
2026-09-08T09:28:06Z,74,38,60,41,4,1,1,101.57,
2026-09-09T09:30:07Z,79,26,23,15,8,3,2,96.07,
2026-09-11T09:26:40Z,84,26,11,9,3,0,0,92.27,
2026-09-12T09:08:32Z,85,25,8,7,1,0,0,92.17,
2026-09-13T10:05:47Z,90,32,10,8,7,2,1,88.02,
2026-09-14T10:28:37Z,92,30,9,7,2,0,0,87.10,
2026-09-15T09:54:03Z,90,30,14,7,4,6,1,85.84,
2026-09-16T09:47:32Z,84,22,17,11,0,6,6,92.80,
2026-09-17T09:54:47Z,83,20,18,11,3,4,3,94.26,
2026-09-18T09:31:28Z,82,18,20,13,1,2,2,96.38,
2026-09-19T09:18:59Z,84,20,21,14,3,1,1,95.06,7.54
2026-09-20T09:40:45Z,85,19,24,14,6,5,1,94.93,7.53
2026-09-21T10:33:57Z,83,17,26,16,0,2,2,98.23,7.52
2026-09-22T09:46:08Z,79,15,26,21,2,7,7,103.65,7.52
