date,open_prs,opened_prs_7d,closed_prs_7d,merged_prs_7d,opened_prs_1d,closed_prs_1d,merged_prs_1d,avg_open_age_days,avg_merged_age_days_365d
2026-08-28T08:10:40Z,817,,,33,,,,263.87,
2026-08-30T10:09:30Z,829,92,42,35,,,,262.02,
2026-08-31T11:11:02Z,830,85,45,37,,,,262.75,
2026-09-01T09:38:01Z,828,84,46,37,13,15,12,264.05,
2026-09-02T09:08:48Z,850,98,53,42,31,9,7,258.05,
2026-09-03T09:15:07Z,857,107,64,56,23,16,16,256.77,
2026-09-04T09:08:25Z,852,107,73,65,12,17,15,258.96,
2026-09-05T08:40:20Z,853,104,74,64,12,11,9,259.38,
2026-09-06T08:59:41Z,855,100,74,62,5,3,1,259.55,
2026-09-07T09:47:37Z,858,100,72,60,4,1,0,259.67,
2026-09-08T09:11:55Z,862,93,59,50,6,2,2,259.43,
2026-09-09T09:15:51Z,866,83,67,57,21,17,14,258.59,
2026-09-11T09:12:26Z,869,99,81,63,21,16,11,257.58,
2026-09-12T08:54:16Z,870,90,73,57,4,4,4,258.51,
2026-09-13T09:48:08Z,877,93,71,57,8,1,1,257.44,
2026-09-14T10:09:42Z,881,93,71,58,5,1,1,257.28,
2026-09-15T09:39:24Z,887,106,81,66,18,12,10,256.41,
2026-09-16T09:34:03Z,894,109,81,65,24,17,13,254.64,
2026-09-17T09:42:19Z,899,102,69,55,24,19,16,253.93,
2026-09-18T09:15:52Z,898,100,71,60,18,18,16,255.03,
2026-09-19T09:01:41Z,890,104,83,70,8,15,13,258.08,10.46
2026-09-20T09:29:41Z,896,103,83,69,7,1,0,257.30,10.46
2026-09-21T10:15:24Z,902,106,84,70,8,2,2,256.60,10.46
